seed_key,description,display_name,name
filter_type.luminance,Luminance / clear filter covering the full visible spectrum,Luminance,luminance
filter_type.broadband_color,Broadband R G or B filter for LRGB imaging,Broadband Color,broadband_color
filter_type.narrowband_single,Narrowband filter isolating a single emission line (e.g. Ha Oiii Sii),Narrowband Single,narrowband_single
filter_type.narrowband_dual,Dual-narrowband filter combining two emission lines in one piece of glass,Narrowband Dual,narrowband_dual
filter_type.narrowband_tri,Tri-narrowband filter combining three emission lines,Narrowband Tri,narrowband_tri
filter_type.uv_ir_cut,UV/IR blocking filter,UV/IR Cut,uv_ir_cut
filter_type.light_pollution,Broadband light pollution rejection filter,Light Pollution,light_pollution
filter_type.neutral_density,Neutral density filter,Neutral Density,neutral_density
filter_type.other,Filter that does not fit standard categories,Other,other
